snapshot_id,snapshot_ts,reason,candle_open_time,candle_close_time,position_open_time,side,size,entry_px,fees,funding,realised_pnl,fill_type,balance,equity,upnl
7512,1718145300000,Interval,1718145300000,1718145359999,1718144940000,Long,527.9994316460,148.8020000000,23.5702114283,0.0000000000,0.0000000000,Market,10906.6046896783,11308.9402565926,402.3355669142
7513,1718145900000,Flatten,1718145900000,1718145959999,1718144940000,Long,527.9994316460,148.8020000000,23.5702114283,0.0000000000,0.0000000000,Market,10906.6046896783,11180.6363947026,274.0317050243
7522,1718152500000,Open,1718152500000,1718152559999,1718152500000,Long,542.9811138116,148.2880000000,24.1552750215,0.0000000000,0.0000000000,Market,11170.8332530321,11257.1672501281,86.3339970960
7523,1718152500000,Interval,1718152500000,1718152559999,1718152500000,Long,542.9811138116,148.2880000000,24.1552750215,0.0000000000,0.0000000000,Market,11170.8332530321,11257.1672501281,86.3339970960
7524,1718153400000,Interval,1718153400000,1718153459999,1718152500000,Long,542.9811138116,148.2880000000,24.1552750215,0.0000000000,0.0000000000,Market,11170.8332530321,11038.3458612620,-132.4873917700
7525,1718153460000,Flatten,1718153460000,1718153519999,1718152500000,Long,542.9811138116,148.2880000000,24.1552750215,0.0000000000,0.0000000000,Market,11170.8332530321,11072.0106903183,-98.8225627137
8716,1719223620000,Open,1719223620000,1719223679999,1719223620000,Long,626.7217066141,126.6810000000,23.8181197547,0.0000000000,0.0000000000,Market,11024.0669423110,11175.1068736050,151.0399312940
8717,1719224400000,Interval,1719224400000,1719224459999,1719223620000,Long,626.7217066141,126.6810000000,23.8181197547,0.0000000000,0.0000000000,Market,11024.0669423110,10857.3589683517,-166.7079739593
8718,1719225300000,Interval,1719225300000,1719225359999,1719223620000,Long,626.7217066141,126.6810000000,23.8181197547,0.0000000000,0.0000000000,Market,11024.0669423110,11215.2170628283,191.1501205173
8719,1719226200000,Interval,1719226200000,1719226259999,1719223620000,Long,626.7217066141,126.6810000000,23.8181197547,0.0000000000,0.0000000000,Market,11024.0669423110,10866.1330722443,-157.9338700667
8720,1719227100000,Interval,1719227100000,1719227159999,1719223620000,Long,626.7217066141,126.6810000000,23.8181197547,0.0000000000,0.0000000000,Market,11024.0669423110,11329.9071351387,305.8401928277
8721,1719228000000,Interval,1719228000000,1719228059999,1719223620000,Long,626.7217066141,126.6810000000,23.8181197547,0.0000000000,0.0000000000,Market,11024.0669423110,10987.0903616208,-36.9765806902
8722,1719228480000,Flatten,1719228480000,1719228539999,1719223620000,Long,626.7217066141,126.6810000000,23.8181197547,0.0000000000,0.0000000000,Market,11024.0669423110,10725.7474099627,-298.3195323483
12621,1722736080000,Open,1722736080000,1722736139999,1722736080000,Long,537.6365768439,142.9210000000,23.0518671597,0.0000000000,0.0000000000,Market,10669.5689135565,10816.8813356117,147.3124220552
12622,1722736200000,Interval,1722736200000,1722736259999,1722736080000,Long,537.6365768439,142.9210000000,23.0518671597,0.0000000000,0.0000000000,Market,10669.5689135565,10972.7959428964,303.2270293399
12623,1722737100000,Interval,1722737100000,1722737159999,1722736080000,Long,537.6365768439,142.9210000000,23.0518671597,0.0000000000,0.0000000000,Market,10669.5689135565,11321.1844446913,651.6155311348
12624,1722738000000,Interval,1722738000000,1722738059999,1722736080000,Long,537.6365768439,142.9210000000,23.0518671597,0.0000000000,0.0000000000,Market,10669.5689135565,11631.4007495302,961.8318359737
12625,1722738180000,Flatten,1722738180000,1722738239999,1722736080000,Long,537.6365768439,142.9210000000,23.0518671597,0.0000000000,0.0000000000,Market,10669.5689135565,12069.5745596579,1400.0056461014
13399,1723433220000,Open,1723433220000,1723433279999,1723433220000,Long,594.7082362629,143.9000000000,25.6735545595,0.0000000000,0.0000000000,Market,11870.4735314869,11944.2173527835,73.7438212966
13400,1723433700000,Interval,1723433700000,1723433759999,1723433220000,Long,594.7082362629,143.9000000000,25.6735545595,0.0000000000,0.0000000000,Market,11870.4735314869,12122.6298236624,252.1562921755
13401,1723434180000,Flatten,1723434180000,1723434239999,1723433220000,Long,594.7082362629,143.9000000000,25.6735545595,0.0000000000,0.0000000000,Market,11870.4735314869,11779.4831713387,-90.9903601482
14946,1724822460000,Open,1724822460000,1724822519999,1724822460000,Long,574.0193146570,147.8880000000,25.4671705218,0.0000000000,0.0000000000,Market,11803.8750309871,12084.5704758543,280.6954448673
14947,1724823300000,Interval,1724823300000,1724823359999,1724822460000,Long,574.0193146570,147.8880000000,25.4671705218,0.0000000000,0.0000000000,Market,11803.8750309871,11873.3313680605,69.4563370735
14948,1724823420000,Flatten,1724823420000,1724823479999,1724822460000,Long,574.0193146570,147.8880000000,25.4671705218,0.0000000000,0.0000000000,Market,11803.8750309871,11857.2588272502,53.3837962631
14951,1724824500000,Open,1724824500000,1724824559999,1724824500000,Long,586.9388231234,147.1390000000,25.9084774487,0.0000000000,0.0000000000,Market,11983.1859207794,12087.0740924722,103.8881716928
14952,1724825100000,Interval,1724825100000,1724825159999,1724824500000,Long,586.9388231234,147.1390000000,25.9084774487,0.0000000000,0.0000000000,Market,11983.1859207794,11995.5116360649,12.3257152856
14953,1724825460000,Flatten,1724825460000,1724825519999,1724824500000,Long,586.9388231234,147.1390000000,25.9084774487,0.0000000000,0.0000000000,Market,11983.1859207794,12080.6177654178,97.4318446385
16778,1726466280000,Open,1726466280000,1726466339999,1726466280000,Long,661.3740549042,131.1730000000,26.0263256712,0.0000000000,0.0000000000,Market,12028.0669700031,12063.1197949130,35.0528249099
16779,1726466700000,Interval,1726466700000,1726466759999,1726466280000,Long,661.3740549042,131.1730000000,26.0263256712,0.0000000000,0.0000000000,Market,12028.0669700031,11856.1097157280,-171.9572542751
16780,1726467240000,Flatten,1726467240000,1726467299999,1726466280000,Long,661.3740549042,131.1730000000,26.0263256712,0.0000000000,0.0000000000,Market,12028.0669700031,12085.6065127798,57.5395427767
16788,1726472820000,Open,1726472820000,1726472879999,1726472820000,Long,659.9872149484,130.8910000000,25.9159159655,0.0000000000,0.0000000000,Market,11991.9929437909,12134.5501822198,142.5572384289
16789,1726473000000,Interval,1726473000000,1726473059999,1726472820000,Long,659.9872149484,130.8910000000,25.9159159655,0.0000000000,0.0000000000,Market,11991.9929437909,12155.0097858832,163.0168420923
16790,1726473780000,Flatten,1726473780000,1726473839999,1726472820000,Long,659.9872149484,130.8910000000,25.9159159655,-8.6576462870,0.0000000000,Market,11983.3352975039,12065.1737121575,81.8384146536
16791,1726473900000,Interval,1726473900000,1726473959999,1726472820000,Long,659.9872149484,130.8910000000,25.9159159655,-8.6576462870,0.0000000000,Market,11983.3352975039,12147.0121268111,163.6768293072
23586,1732587720000,Open,1732587720000,1732587779999,1732587720000,Long,367.2130839854,238.0400000000,26.2234207536,0.0000000000,0.0000000000,Market,12137.7099862642,12306.6280048975,168.9180186333
23587,1732588500000,Interval,1732588500000,1732588559999,1732587720000,Long,367.2130839854,238.0400000000,26.2234207536,0.0000000000,0.0000000000,Market,12137.7099862642,12332.3329207765,194.6229345123
